date,winLoss
4/5/2018,0
4/7/2018,0
4/8/2018,0
4/9/2018,0
4/10/2018,0
4/11/2018,1
4/20/2018,0
4/21/2018,0
4/22/2018,0
4/23/2018,1
4/24/2018,0
4/25/2018,0
5/3/2018,1
5/4/2018,0
5/5/2018,0
5/6/2018,0
5/8/2018,0
5/9/2018,0
5/17/2018,1
5/18/2018,0
5/19/2018,1
5/20/2018,1
5/21/2018,0
5/22/2018,1
5/23/2018,1
5/24/2018,0
6/1/2018,1
6/2/2018,0
6/3/2018,1
6/11/2018,0
6/12/2018,1
6/13/2018,1
6/14/2018,0
6/15/2018,0
6/16/2018,0
6/17/2018,0
6/22/2018,1
6/22/2018,0
6/23/2018,0
6/24/2018,1
6/26/2018,1
6/27/2018,1
6/28/2018,0
7/10/2018,0
7/11/2018,1
7/13/2018,1
7/14/2018,0
7/15/2018,1
7/27/2018,0
7/28/2018,1
7/29/2018,0
7/31/2018,0
8/1/2018,0
8/2/2018,1
8/6/2018,0
8/7/2018,0
8/8/2018,0
8/10/2018,1
8/11/2018,0
8/12/2018,0
8/17/2018,1
8/18/2018,0
8/19/2018,1
8/21/2018,0
8/22/2018,1
8/30/2018,0
8/31/2018,1
9/1/2018,0
9/2/2018,1
9/3/2018,1
9/4/2018,0
9/5/2018,0
9/7/2018,0
9/8/2018,0
9/9/2018,0
9/21/2018,1
9/22/2018,0
9/23/2018,0
9/24/2018,0
9/25/2018,1
9/26/2018,0
